timestamp,joint_positions,joint_velocities,object_position,target_position,last_action,interpered_actions
1745586297.797396,"[0.001666056666611994, 0.009419540484757127, 0.003268183538149773, 0.02894211706936245, 0.05631396898372604, 0.02430614616179927, 0.08760286614910062, -0.03997209166576795, -0.03997209166576795]","[0.0003980310125817655, -0.00040309534427904496, 0.0016632061324768873, 0.0004368271334263163, -0.0005664464790103251, -0.001205371910198002, -0.00032014858391297204, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.8071544,"[0.001666056666611994, 0.009419540484757127, 0.003268183538149773, 0.02894211706936245, 0.05631396898372604, 0.02430614616179927, 0.08760286614910062, -0.03997209166576795, -0.03997209166576795]","[0.0003980310125817655, -0.00040309534427904496, 0.0016632061324768873, 0.0004368271334263163, -0.0005664464790103251, -0.001205371910198002, -0.00032014858391297204, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.8172247,"[0.0016660566786390427, 0.009421728966499288, 0.0032617336685292608, 0.02894102220063921, 0.0563179956040028, 0.02426611560952585, 0.08760377227264637, -0.03997209166576795, -0.03997209166576795]","[0.0007515048270351674, 6.664896366234425e-05, -0.0009524839844839408, 0.0007227733060675805, 0.0010765631261045352, -0.0013575504594591197, 0.0012154239527580233, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.827234,"[0.0016660566786390427, 0.009421728966499288, 0.0032617336685292608, 0.02894102220063921, 0.0563179956040028, 0.02426611560952585, 0.08760377227264637, -0.03997209166576795, -0.03997209166576795]","[0.0007515048270351674, 6.664896366234425e-05, -0.0009524839844839408, 0.0007227733060675805, 0.0010765631261045352, -0.0013575504594591197, 0.0012154239527580233, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.837197,"[0.0016660566786390427, 0.009421728966499288, 0.0032617336685292608, 0.02894102220063921, 0.0563179956040028, 0.02426611560952585, 0.08760377227264637, -0.03997209166576795, -0.03997209166576795]","[0.0007515048270351674, 6.664896366234425e-05, -0.0009524839844839408, 0.0007227733060675805, 0.0010765631261045352, -0.0013575504594591197, 0.0012154239527580233, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.8474221,"[0.001664344169934899, 0.009423014829213039, 0.0032654300256535736, 0.02893686538527751, 0.05631564363448519, 0.024208049527199016, 0.0876013910558684, -0.03997209166576795, -0.03997209166576795]","[0.00037123687570235134, 0.0006464634490064536, 0.0016665432098071386, -0.0011611626908925254, 0.0007910681157489079, -0.0022716735678639435, -0.0004296557374411063, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.857135,"[0.001664344169934899, 0.009423014829213039, 0.0032654300256535736, 0.02893686538527751, 0.05631564363448519, 0.024208049527199016, 0.0876013910558684, -0.03997209166576795, -0.03997209166576795]","[0.00037123687570235134, 0.0006464634490064536, 0.0016665432098071386, -0.0011611626908925254, 0.0007910681157489079, -0.0022716735678639435, -0.0004296557374411063, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.8673868,"[0.001664344169934899, 0.009423014829213039, 0.0032654300256535736, 0.02893686538527751, 0.05631564363448519, 0.024208049527199016, 0.0876013910558684, -0.03997209166576795, -0.03997209166576795]","[0.00037123687570235134, 0.0006464634490064536, 0.0016665432098071386, -0.0011611626908925254, 0.0007910681157489079, -0.0022716735678639435, -0.0004296557374411063, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.8772194,"[0.001664344169934899, 0.009423014829213039, 0.0032654300256535736, 0.02893686538527751, 0.05631564363448519, 0.024208049527199016, 0.0876013910558684, -0.03997209166576795, -0.03997209166576795]","[0.00037123687570235134, 0.0006464634490064536, 0.0016665432098071386, -0.0011611626908925254, 0.0007910681157489079, -0.0022716735678639435, -0.0004296557374411063, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1745586297.8872824,"[0.0016660557044480917, 0.00942080288086522, 0.0032600750489437226, 0.02893895675779401, 0.056313619660431496, 0.024160752629582394, 0.08760452941760877, -0.03997209166576795, -0.03997209166576795]","[0.0007805847973943388, 0.0011736784287564358, -0.0015363483306764488, -0.0004586325173391811, 0.0001901464539018794, -0.0013210328030429804, 0.0005736148245856353, 0.0, 0.0]","[0.5, 0.4, 0.055]","[0.65, 0.2, 0.5, 1.0, 0.0, 0.0, 0.0]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
